iter	Passed	Remaining
0	0	35
1	1	52
2	1	45
3	1	39
4	1	37
5	2	45
6	3	42
7	3	40
8	3	39
9	4	37
10	4	36
11	4	35
12	5	34
13	5	33
14	5	32
15	6	35
16	7	34
17	7	33
18	7	33
19	8	32
20	8	31
21	9	32
22	9	31
23	9	31
24	10	30
25	10	29
26	11	30
27	11	29
28	11	29
29	12	28
30	12	27
31	13	27
32	13	27
33	13	26
34	14	26
35	14	25
36	14	25
37	15	24
38	16	25
39	16	25
40	17	24
41	17	23
42	17	23
43	17	22
44	18	22
45	18	22
46	19	21
47	19	21
48	19	20
49	20	20
50	21	20
51	21	19
52	21	19
53	22	19
54	22	18
55	23	18
56	23	17
57	23	17
58	24	16
59	24	16
60	25	16
61	26	16
62	26	15
63	27	15
64	28	15
65	29	15
66	29	14
67	29	14
68	30	13
69	31	13
70	31	12
71	32	12
72	32	12
73	32	11
74	33	11
75	33	10
76	33	10
77	34	9
78	35	9
79	35	8
80	36	8
81	36	8
82	36	7
83	37	7
84	37	6
85	37	6
86	38	5
87	38	5
88	39	4
89	39	4
90	40	3
91	40	3
92	40	3
93	42	2
94	42	2
95	42	1
96	43	1
97	43	0
98	43	0
99	44	0
